maxtempC,mintempC,totalSnow_cm,sunHour,AQI_Explained
22,13,0,11.9,Very unhealthy
21,11,0,12.9,Hazardous
20,11,0,9.3,Very unhealthy
18,13,0,10.6,Hazardous
17,11,0,12.9,Hazardous
19,11,0,11.9,Hazardous
21,11,0,11.9,Hazardous
19,12,0,13,Very unhealthy
20,12,0,11.9,Hazardous
21,12,0,12,Unhealthy
20,13,0,10.7,Unhealthy
19,13,0,13.1,Unhealthy
23,14,0,12,Very unhealthy
25,15,0,12,Hazardous
16,14,0,8.2,Very unhealthy
20,14,0,10.7,Hazardous
16,13,0,8.2,Hazardous
18,14,0,8.2,Very unhealthy
17,14,0,8.2,Hazardous
23,12,0,13.2,Hazardous
26,12,0,13.2,Hazardous
26,15,0,13.2,Hazardous
27,16,0,13.2,Hazardous
26,19,0,13.3,Very unhealthy
25,17,0,13.3,Very unhealthy
28,16,0,13.3,Hazardous
25,20,0,10.8,Very unhealthy
30,19,0,13.3,Hazardous
20,14,0,8.3,Hazardous
17,15,0,8.3,Unhealthy
20,14,0,8.4,Hazardous
18,14,0,10.8,Unhealthy
26,13,0,13.4,Hazardous
26,15,0,13.4,Hazardous
20,16,0,8.4,Hazardous
23,17,0,13.4,Very unhealthy
24,14,0,9.8,Very unhealthy
23,12,0,13.9,Very unhealthy
24,12,0,11,Unhealthy
